from,starting label,QID,label,depth,target
Q847,tennis,Q877517,ball game,1,1
Q847,tennis,Q2426135,racket sport,1,1
Q847,tennis,Q56054951,men's tennis,1,1
Q847,tennis,Q31629,type of sport,1,1
Q847,tennis,Q47094420,Foam Tennis,1,1
Q847,tennis,Q1153025,wheelchair tennis,1,1
Q847,tennis,Q754796,miniature golf,2,0
Q847,tennis,Q212845,Basque pelota,2,1
Q847,tennis,Q855880,football tennis,2,1
Q3407658,tram,Q1562213,freight tram,1,1
Q3407658,tram,Q5063597,low-floor tram,1,1
Q3407658,tram,Q15825863,light rail vehicle,1,1
Q3407658,tram,Q208502,railroad car,1,1
Q3407658,tram,Q752870,motor vehicle,1,1
Q3407658,tram,Q1414135,rolling stock,1,1
Q364,GitHub,Q1668024,service on internet,1,1
Q364,GitHub,Q3077240,forge,1,1
Q364,GitHub,Q6881511,enterprise,1,1
Q364,GitHub,Q5227240,data library,1,1
Q364,GitHub,Q2910253,Torah database,2,1
Q312,Apple Inc.,Q6881511,enterprise,1,1
Q312,Apple Inc.,Q167037,corporation,1,1
Q312,Apple Inc.,Q4830453,business,1,1
Q312,Apple Inc.,Q431289,brand,1,1
Q312,Apple Inc.,Q891723,public company,1,1
Q312,Apple Inc.,Q18388277,technology company,1,1
Q312,Apple Inc.,Q1058914,software company,2,1
Q312,Apple Inc.,Q13637823,Independent hardware vendor,2,1
Q12725,electricity,Q55605484,bioelectricity,1,1
Q12725,electricity,Q11379,energy,1,1
Q12725,electricity,Q1293220,physical phenomenon,1,1
Q12725,electricity,Q1522115,energy source,1,1
Q12725,electricity,Q18030772,prise électrique,1,0
Q12725,electricity,Q351281,sound energy,2,0
Q12725,electricity,Q11271324,energy transformation,2,1
Q12725,electricity,Q42213,work,2,0
Q12725,electricity,Q20058155,solar island,2,0
Q12725,electricity,Q396045,agricultural energy,2,0
Q12725,electricity,Q40189366,interstellar radiation field,2,0
Q12725,electricity,Q360356,Hamiltonian function,2,0
Q42490,Asterix,Q14406742,comic book series,1,1
Q918,Twitter,Q620615,mobile app,1,1
Q918,Twitter,Q92438,microblogging,1,1
Q918,Twitter,Q3220391,social networking service,1,1
Q918,Twitter,Q7858627,Twitter usage,2,1
Q918,Twitter,Q6839279,microblogging in China,2,0
Q918,Twitter,Q7901759,use of Twitter by public figures,3,1
Q918,Twitter,Q17710982,Twitterature,3,1
Q121416,discrete mathematics,Q1936384,area of mathematics,1,1
Q121416,discrete mathematics,Q92552,Galois theory,2,1
Q121416,discrete mathematics,Q621550,general topology,2,1
Q121416,discrete mathematics,Q3968,algebra,2,1
Q121416,discrete mathematics,Q21028313,global analysis,2,1
Q121416,discrete mathematics,Q3532114,combinatorial topology,2,1
Q121416,discrete mathematics,Q56313053,Additive combinatorics,2,1
Q121416,discrete mathematics,Q1208658,ring theory,2,1
Q121416,discrete mathematics,Q76592,combinatorics,2,1
Q121416,discrete mathematics,Q212803,algebraic topology,2,1
Q121416,discrete mathematics,Q177409,projective geometry,2,1
Q121416,discrete mathematics,Q7825032,topological dynamics,2,1
