qid,label
Q105674,running
Q1060165,Riot Games
Q11020,pool
Q1139866,Dofus
Q1146208,Institut National de Recherche en Informatique et en Automatique
Q1152227,pharmacogenomics
Q118398,arXiv
Q1199743,gradient descent
Q1200183,Fiber to the home
Q12014035,hiking
Q12130,Brittany
Q121416,discrete mathematics
Q1224715,dblp computer science bibliography
Q12725,electricity
Q1273376,E.Leclerc
Q129337,TGV
Q131476,graph theory
Q133215,casino
Q13646,SNCF
Q1431486,Orange
Q1437394,formal concept analysis
Q1474517,French National Institute of Health and Medical Research
Q1484375,PyCharm
Q14922,table football
Q159144,Europa-Park
Q159992,surfing
Q1636958,Xiaomi
Q16820462,Borderlands
Q168403,myopia
Q17130715,Slack
Q171545,Belfort
Q174320,oscilloscope
Q180,Wikimedia Foundation
Q180204,shampoo
Q180704,Iron Man
Q1847641,human facial hair
Q188273,Ubisoft
Q195,chocolate
Q196538,microscope
Q2,Earth
Q201664,bracelet
Q207472,Toto
Q209330,Instagram
Q223127,Logitech
Q2283,Microsoft
Q22907849,Discord
Q231136,Encarta
Q23572,Game of Thrones
Q243,Eiffel Tower
Q244030,Diablo III
Q2539,machine learning
Q2551422,Water damage
Q2746070,Canelé
Q280413,National Center for Scientific Research
Q2813,Coca-Cola
Q28406404,Microsoft Teams
Q28785,Sacré-Cœur
Q2905238,BlaBlaCar
Q30299483,Inria Nancy - Grand-Est research centre
Q312,Apple Inc.
Q3214499,LORIA
Q324254,ontology
Q325904,breadth-first search
Q335827,Directorate-General for External Security
Q337535,Steam
Q33959,Nice
Q3407658,tram
Q3517281,Telecom Nancy
Q35996,Mazda
Q364,GitHub
Q37501,eyeglasses
Q38076,McDonald’s
Q381,Ubuntu
Q38695,cooking
Q392500,Agence Nationale de la Recherche
Q40898,Nancy
Q4173330,University of Lorraine
Q42490,Asterix
Q462,Star Wars
Q508256,Bastille
Q51746,Luke Skywalker
Q52,Wikipedia
Q548319,kouign-amann
Q614362,Orange Livebox
Q643290,RATP
Q6588,Périgueux
Q68,computer
Q718,chess
Q746413,Elsevier BV
Q76592,combinatorics
Q777,Google Chrome
Q7935239,Virtuoso Universal Server
Q80131,poker
Q8333,Federal Bureau of Investigation
Q83363,jeans
Q847,tennis
Q848609,Dagobah
Q8539,The Big Bang Theory
Q8548,Dijkstra's algorithm
Q864693,chicken meat
Q900647,Côte d'Opale
Q918,Twitter
Q9340,Google Drive
Q95,Google
Q9798,saxophone
